date,Country,NewCases,NewDeaths,ActiveCases,Serious,Population
2020-12-08 00:00:00,Slovensko,2564,28,30943,270,5461146
2020-12-09 00:00:00,Slovensko,3125,38,32362,270,5461146
2020-12-10 00:00:00,Slovensko,2166,20,32432,286,5461146
2020-12-11 00:00:00,Slovensko,3707,18,34230,282,5461146
2020-12-12 00:00:00,Slovensko,2190,18,34741,282,5461146
2020-12-13 00:00:00,Slovensko,505,27,33699,275,5461146
2020-12-14 00:00:00,Slovensko,2034,30,33969,282,5461146
2020-12-15 00:00:00,Slovensko,3565,46,36195,288,5461146
2020-12-16 00:00:00,Slovensko,3045,58,38018,310,5461146
2020-12-17 00:00:00,Slovensko,3991,69,40124,278,5461146
2020-12-18 00:00:00,Slovensko,3151,62,41404,311,5461146
2020-12-19 00:00:00,Slovensko,2061,70,41953,304,5461146
2020-12-20 00:00:00,Slovensko,1219,45,41130,312,5461146
2020-12-21 00:00:00,Slovensko,2663,63,43035,319,5461146
2020-12-22 00:00:00,Slovensko,3687,0,44592,334,5461146
2020-12-23 00:00:00,Slovensko,2657,68,45563,348,5461146
2020-12-24 00:00:00,Slovensko,4046,46,48213,364,5461146
2020-12-25 00:00:00,Slovensko,1041,0,47969,373,5461146
2020-12-26 00:00:00,Slovensko,874,0,46664,380,5461146
2020-12-27 00:00:00,Slovensko,569,41,45803,396,5461146
2020-12-28 00:00:00,Slovensko,2095,106,46444,408,5461146
2020-12-29 00:00:00,Slovensko,3041,104,46736,412,5461146
2020-12-30 00:00:00,Slovensko,6315,82,51434,403,5461146
2020-12-31 00:00:00,Slovensko,4965,73,55068,416,5461146
2021-01-01 00:00:00,Slovensko,1736,112,55709,424,5461146
2021-01-02 00:00:00,Slovensko,1219,0,55152,439,5461146
2021-01-03 00:00:00,Slovensko,636,67,54681,436,5461146
2021-01-04 00:00:00,Slovensko,2989,204,55633,452,5461146
2021-01-05 00:00:00,Slovensko,4959,82,57630,453,5461146
2021-01-06 00:00:00,Slovensko,2137,54,57084,457,5461146
2021-01-07 00:00:00,Slovensko,2980,60,56886,458,5461146
2021-01-08 00:00:00,Slovensko,4072,71,57788,463,5461146
2021-01-09 00:00:00,Slovensko,2973,48,58016,473,5461146
2021-01-10 00:00:00,Slovensko,860,82,55823,485,5461146
2021-01-11 00:00:00,Slovensko,2410,89,54622,479,5461146
2021-01-12 00:00:00,Slovensko,3576,95,54864,493,5461146
2021-01-13 00:00:00,Slovensko,2923,61,54317,491,5461146
2021-01-14 00:00:00,Slovensko,2729,97,54022,489,5461146
2021-01-15 00:00:00,Slovensko,2045,102,52780,530,5461146
2021-01-16 00:00:00,Slovensko,573,55,50936,527,5461146
2021-01-17 00:00:00,Slovensko,1060,57,49767,528,5461146
2021-01-18 00:00:00,Slovensko,1909,52,48896,541,5461146
2021-01-19 00:00:00,Slovensko,2484,111,48177,538,5461146
2021-01-20 00:00:00,Slovensko,2464,100,46312,561,5461146
2021-01-21 00:00:00,Slovensko,1785,64,45191,574,5461146
2021-01-22 00:00:00,Slovensko,1544,93,43923,578,5461146
2021-01-23 00:00:00,Slovensko,1905,71,42449,581,5461146
